72,எனக்கே எனக்கா, ஜீன்ஸ்,1998, வைரமுத்து,"பி.உன்னிகிருஷ்ணன், சுஜாதா மோகன் ","எனக்கே எனக்கா
எனக்கே எனக்கா
நீ எனக்கே எனக்கா
மதுமிதா மதுமிதா மதுமிதா"
73,மின்னல் ஒரு கோடி,வி.ஐ.பி,1997,வைரமுத்து,"ஹரிஹரன், கே.எஸ்.சித்ரா ","மின்னல் ஒரு கோடி
எந்தன் உயிர் தேடி வந்ததே
ஓ லட்சம் பல லட்சம்
பூக்கள் ஒன்றாகப் பூத்ததே"
74,மழைக்காற்று வந்து,வேதம்,2001, வைரமுத்து,"ஹரிஹரன், மகாலக்ஷ்மி ஐயர்","மழைக்காற்று வந்து தமிழ் பேசுதே
மலைச்சாரல் வந்து இசை பாடுதே
மலரோடு வண்டு உரையாடுதே
என்னோடு நீயும் பேசடி"
75,வேறென்ன வேறென்ன வேண்டும்,மின்னலே,2001,தாமரை,"உன்னி கிருஷ்ணன், ஹரிணி","வேறென்ன வேறென்ன வேண்டும்
ஒரு முறை சொன்னால் போதும்
நிலவையும் உந்தன் கால்மிதியாய்
வைப்பேனே வைப்பேனே"
76,ஹே அழகிய தீயே,மின்னலே,2001, வாலி,"ஹரிஷ் ராகவேந்திரா, டிம்மி","ஒரு ஹைக்கு கவிதை
விழிகளில் நீ பாட பாட
ஒரு ஹைப்பா் டென்ஷன்
தலைக்கேறுதே நானும் வாட"
77,ஆத்தங்கரை மரமே,கிழக்கு சீமையிலே,1993,வைரமுத்து,"ஹரிஷ் ராகவேந்திரா, டிம்மி","அத்தைக்கு பிறந்தவளே
ஆளாகி நின்றவளே
பருவ சுமந்து வரும்
பாவாடை தாமரையே"
78,வண்ண நிலவே,நினைத்தேன் வந்தாய்,1998, பழனி பாரதி,ஹரிஹரன்,"வண்ண நிலவே வண்ண நிலவே
வருவது நீதானா
வாசனைகள் வருகிறதே
வருவது நிஜம் தானா"
79,பச்சை நிறமே,அலைபாயுதே,2000,வைரமுத்து,ஹரிஹரன்,"சகியே சினேகிதியே
காதலில் காதலில் காதலில் நிறமுண்டு
சகியே சினேகிதியே
என் அன்பே அன்பே உனக்கும் நிறமுண்டு"
80,என் மேல்விழுந்த,மே மாதம்,1994,வைரமுத்து,"ஜெயச்சந்திரன், KS சித்ரா","என் மேல்விழுந்த மழைத் துளியே
இத்தனை நாளாய் எங்கிருந்தாய்
இன்று எழுதிய என் கவியே
இத்தனை நாளாய் எங்கிருந்தாய்
"
81,அன்பே அன்பே கொல்லாதே,ஜீன்ஸ்,1998, வைரமுத்து,"ஹரிஹரன், அனுராதா ஸ்ரீராம்","அன்பே அன்பே கொல்லாதே
கண்ணே கண்ணை கிள்ளாதே
பெண்ணே புன்னகையில்
இதயத்தை வெடிக்காதே
ஐயோ உன்னசைவில்
உயிரைக் குடிக்காதே"
82, ஈஸ்வரா வானும் மண்ணும்,கண்ணெதிரே தோன்றினால்,1998,வைரமுத்து,"உதித் நாராயணன்,","ஈஸ்வரா வானும் மண்ணும்
Hand Shake பண்ணுது உன்னால் ஈஸ்வரா
நீரும் நெருப்பும் Friendship ஆனது
உன்னால் ஈஸ்வரா"
83,மின்னலே நீ வந்ததேனடி,மே மாதம்,1994,வைரமுத்து,எஸ்.பி.பாலசுப்ரமணியம்,"மின்னலே நீ வந்ததேனடி
என் கண்ணிலே ஒரு காயம் என்னடி
என் வானிலே நீ மறைந்துப் போன
மாயம் என்னடி"
84, ராக்கோழி ரெண்டும், உழவன்,1993, வாலி,"KJ யேசுதாஸ், ஸ்வர்ணலதா","உள் நாடிதான் நெருப்பா கொதிக்க
நடு சாம வேளையில் வாடையடிக்க
ஆண்: கண் பார்வைதான் பழமா சிவக்க
மெதுவா மேனியில் மின்னலடிக்க
"
85,உரக்க கத்துது கோழி,எஜமான்,1993, உதயக்குமார்,எஸ்.ஜானகி,"உரக்க கத்துது கோழி
தண்ணி இறைச்சி கொட்டுது வாளி
இருட்டுக்கு எத்தன வேலி
வந்து இறுக்கி கட்டனும் தாழி"
86,கண்ணாளனே,பம்பாய்,1995,வைரமுத்து,கே.எஸ்.சித்ரா,"சல சல சல சோலை கிளியே
சோலைய தேடிக்க
சிலு சிலு சிலு சா்க்கர நிலவே
மாலைய மாத்திக்க"
87,சந்தனத் தென்றலை,கண்டுகொண்டேன் கண்டுகொண்டேன்,2000,வைரமுத்து,சங்கா் மகாதேவன்,"இல்லை இல்லை சொல்ல
ஒரு கணம் போதும்
இல்லை என்ற சொல்லைத்
தாங்குவதென்றால்
இன்னும் இன்னும் எனக்கோா்
ஜென்மம் வேண்டும்
என்ன சொல்லப் போகிறாய்"
88,லாலி பப்பு லாலி பப்பு,நினைத்தேன் வந்தாய்,1998,பழனி பாரதி,"மனோ, அனுராதா ஸ்ரீராம்","லாலி பப்பு லாலி பப்பு
போல் இனிக்கும் மனசு
ஜாலி டைப்பு பாட்டு கேட்டா
ஆடுகின்ற வயசு
"
89,மேற்கே மேற்கே,கண்ட நாள் முதல்,2005,தாமரை," சங்கர் மகாதேவன், சாதனா சர்கம்","லை லை லை லை லாய் லாய் லாய்
லாயே லாயே லாய் லாய் லாய்
மேற்கே மேற்கே மேற்கே தான்
சூரியன்கள் உதித்திடுமே
"
90,தங்கத் தாமரை மகளே,மின்சார கனவு,1997, வைரமுத்து,S.P.பாலசுப்பிரமணியம்,"தங்கத் தாமரை மகளே வா அருகே
தத்தித் தாவுது மனமே வா அழகே
வெள்ளம் மன்மத வெள்ளம்
சிறு விரிசல் கண்டது உள்ளம்
இவை எல்லாம் பெண்ணே உன்னாலே
"
91,மீனம்மா அதிகாலையிலும்,ஆசை,1995,வாலி,உன்னிகிருஷ்ணன்,"மீனம்மா
அதிகாலையிலும்
அந்தி மாலையிலும்
உந்தன் ஞாபகமே"
92,உன்னைப் பார்த்த,காதல் மன்னன்,1998,வைரமுத்து,SP பாலசுப்ரமணியம்,"உன்னைப் பார்த்த பின்பு நான்
நானாக இல்லையே
என் நினைவு தெரிந்து நான்
இதுபோல இல்லையே"
93,வெண்ணிலா வெளியே,உனக்காக எல்லாம்,1999,பழனி பாரதி,ஹரிஹரன்,"வெண்ணிலா வெளியே வருவாயா
விழியிலே வெளிச்சம் தருவாயா
இரவிலே தவிக்க விடுவாயா
"
94, சந்திரனை தொட்டது யாா்,ரட்சகன்,1997,வைரமுத்து,"ஹரிஹரன், சுஜாதா மோகன்","ந்திரனை தொட்டது யாா்
ஆம்ஸ்ட்ராங்கா அடி ஆம்ஸ்ட்ராங்கா
சத்தியமாய் தொட்டது யாா்
நான்தானே அடி நான்தானே"
95,சொட்ட சொட்ட நனையுது,தாஜ்மஹால்,1999,வைரமுத்து,"ஸ்ரீனிவாஸ், MG ஸ்ரீகுமார்","அடி நீ எங்கே அடி நீயெங்கே
ஏ அடி நீயெங்கே
அடி நீயெங்கே அடி நீயெங்கே"
